row_id,engagement_score
89198,4.151822210884353
89199,3.915710918367342
89200,2.402233299319724
89201,2.954051122448967
89202,1.9836550340136019
89203,3.003640918367331
89204,3.740860685425675
89205,4.196415238095255
89206,2.661132233560085
89207,4.685642414966027
89208,3.874552942176872
89209,4.2647217346938495
89210,3.5856987755101852
89211,4.222511326530607
89212,3.2598971428571435
89213,3.212681700680295
89214,2.09244775510204
89215,3.6870686734693496
89216,4.4310440136054625
89217,2.8965786734694166
89218,4.340970068027205
89219,2.547464319727878
89220,2.5859511281179146
89221,3.558601088435403
89222,3.85338482993196
89223,4.336748367346939
89224,3.0190901020408236
89225,2.97393214285713
89226,3.8235981637806766
89227,2.6721914327339262
89228,3.579004041950115
89229,2.499556122448966
89230,2.4694694557823147
89231,3.6422400907029604
89232,3.746291601731597
89233,2.927824115646268
89234,3.294747312925161
89235,4.174187244897969
89236,2.400288027210879
89237,4.079235068027195
89238,4.494388299319707
89239,3.8026739795918307
89240,3.7699331632653177
89241,4.001754967532463
89242,3.8569473469387634
89243,4.287816904761901
89244,4.249895918367348
89245,3.9311339605236078
89246,3.856815714285694
89247,3.4053916893424008
89248,4.585799455782316
89249,2.2277533560090625
89250,4.252547925170063
89251,2.2374599874926657
89252,4.071112772108843
89253,2.325671700680269
89254,3.0356516609977344
89255,2.5963731462584967
89256,3.544394523809549
89257,4.191521854811854
89258,4.789877448979596
89259,3.3056794047618956
89260,3.33609857142857
89261,1.9173743197278919
89262,4.013006904761912
89263,4.01055649659861
89264,4.2917228571428545
89265,2.2800964285714276
89266,4.266337562358259
89267,4.070176088435381
89268,3.8607173469387708
89269,3.5408585544217646
89270,4.189142108843559
89271,2.5071285260770906
89272,4.200390748299315
89273,4.2765269387754925
89274,3.6634489115646147
89275,3.554792500000003
89276,3.298514013605438
89277,2.1596332936507983
89278,3.9583302607709676
89279,2.1988683776540916
89280,2.9240568532261397
89281,3.8627022959183823
89282,3.389001235827663
89283,4.534312571119342
89284,4.287883736858369
89285,3.035413741496572
89286,3.5942807709750704
89287,3.5461586734694137
89288,3.907125408163244
89289,3.1875259523809487
89290,4.217342358276605
89291,3.0097875170068007
89292,4.688457358276647
89293,4.406122789115605
89294,3.5955067862296417
89295,3.183747057823115
89296,2.8942918367347024
89297,3.7614125396825338
89298,3.0786075283446808
89299,4.499938328021179
89300,4.124059727891148
89301,4.23043687714946
89302,2.9544406632653053
89303,2.659317135602494
89304,3.330035923520921
89305,3.7793087471655276
89306,4.091060714285691
89307,3.6248376190476206
89308,3.7870838151927546
89309,3.8646072335600508
